source,aggregation,theoretical,observed
empirical,year_20,0.6557479655076999,0.7139243675702327
empirical,year_20,0.6610790125465534,0.7139243675702327
empirical,year_20,0.6664289140941763,0.7162400548688863
empirical,year_20,0.6717979582087189,0.7308908473996972
empirical,year_20,0.6771864382630615,0.7308908473996972
empirical,year_20,0.6825946530894322,0.7308908473996972
empirical,year_20,0.6880229071288791,0.7308908473996972
empirical,year_20,0.6934715105858068,0.7399206447965561
empirical,year_20,0.6989407795877769,0.7399206447965561
empirical,year_20,0.7044310363508015,0.7465396930495468
empirical,year_20,0.709942609350354,0.7470970410491125
empirical,year_20,0.7154758334983404,0.7470970410491125
empirical,year_20,0.7210310503262912,0.7716426973213282
empirical,year_20,0.7266086081750297,0.7716426973213282
empirical,year_20,0.7322088623911103,0.7782959249323569
empirical,year_20,0.7378321755303083,0.7782959249323569
empirical,year_20,0.7434789175684842,0.779659596052295
empirical,year_20,0.749149466120136,0.7849254105114885
empirical,year_20,0.7548442066649914,0.7849254105114885
empirical,year_20,0.7605635327829978,0.7849254105114885
empirical,year_20,0.7663078463980862,0.7849254105114885
empirical,year_20,0.7720775580311181,0.8132012445576897
empirical,year_20,0.777873087062426,0.8132012445576897
empirical,year_20,0.783694862004403,0.8221949462666628
empirical,year_20,0.7895433207845997,0.8221949462666628
empirical,year_20,0.7954189110398333,0.8221949462666628
empirical,year_20,0.8013220904218231,0.8234427623141889
empirical,year_20,0.8072533269149051,0.8234427623141889
empirical,year_20,0.8132130991664136,0.8234427623141889
empirical,year_20,0.8192018968303355,0.8234427623141889
empirical,year_20,0.8252202209248986,0.8302848687977512
empirical,year_20,0.8312685842047711,0.8313223327820563
empirical,year_20,0.8373475115486125,0.8313223327820563
empirical,year_20,0.8434575403627359,0.8474798142436211
empirical,year_20,0.849599221001705,0.858719751392258
empirical,year_20,0.8557731172067338,0.8784417016802346
empirical,year_20,0.8619798065627976,0.8784417016802346
empirical,year_20,0.8682198809754411,0.8822156417980673
empirical,year_20,0.8744939471683062,0.8822156417980673
empirical,year_20,0.8808026272024884,0.8958844087659825
empirical,year_20,0.8871465590188761,0.8970575612641184
empirical,year_20,0.8935263970047258,0.8988781609080128
empirical,year_20,0.8999428125857826,0.9337127782283584
empirical,year_20,0.9063964948453513,0.9337127782283584
empirical,year_20,0.9128881511718233,0.9534347056413971
empirical,year_20,0.9194185079362336,0.9722301300310585
empirical,year_20,0.9259883112015692,0.9762339262914282
empirical,year_20,0.9325983274656184,0.9899595107669926
empirical,year_20,0.9392493444393147,1.00325693873622
empirical,year_20,0.9459421718626262,1.0271241681407168
empirical,year_20,0.9526776423602106,1.0271241681407168
empirical,year_20,0.9594566123391897,1.0271241681407168
empirical,year_20,0.9662799629315718,1.0344741458519107
empirical,year_20,0.9731486009840378,1.034925163068671
empirical,year_20,0.9800634600979765,1.0368978779435503
empirical,year_20,0.987025501722897,1.051440625681375
empirical,year_20,0.9940357163065435,1.064952537603093
empirical,year_20,1.0010951245053095,1.064952537603093
empirical,year_20,1.008204778458799,1.0670894713312244
empirical,year_20,1.015365763132681,1.0706405714728202
empirical,year_20,1.0225791977343095,1.0708326708532205
empirical,year_20,1.0298462372059014,1.0815935147500886
empirical,year_20,1.0371680738004763,1.1034698894057933
empirical,year_20,1.044545938746134,1.1034698894057933
empirical,year_20,1.051981104004729,1.1058129844819922
empirical,year_20,1.0594748841314618,1.1058129844819922
empirical,year_20,1.0670286382424645,1.1073574759788158
empirical,year_20,1.0746437720980244,1.14452213335254
empirical,year_20,1.082321740309752,1.14452213335254
empirical,year_20,1.0900640486806923,1.1680295925252986
empirical,year_20,1.0978722566881465,1.177032048325322
empirical,year_20,1.1057479801198542,1.1823505028149164
empirical,year_20,1.1136928938750754,1.1823505028149164
empirical,year_20,1.1217087349432004,1.1823505028149164
empirical,year_20,1.1297973055736148,1.1823505028149164
empirical,year_20,1.137960476651821,1.1826803850561098
empirical,year_20,1.1462001912982418,1.2027654200797449
empirical,year_20,1.1545184687076242,1.2027654200797449
empirical,year_20,1.1629174082487306,1.206145691277718
empirical,year_20,1.1713991938458808,1.2380769761385255
empirical,year_20,1.1799660986660503,1.2507215108246421
empirical,year_20,1.1886204901375659,1.2507215108246421
