source,start_year,end_year,start_decile,end_decile,count,probability
empirical,15,20,3,2,8,0.11764705882352941
empirical,15,20,3,3,15,0.22058823529411764
empirical,15,20,3,4,5,0.07352941176470588
empirical,15,20,3,5,9,0.1323529411764706
empirical,15,20,3,6,7,0.10294117647058823
empirical,15,20,3,7,8,0.11764705882352941
empirical,15,20,3,8,1,0.014705882352941176
empirical,15,20,3,9,4,0.058823529411764705
empirical,15,20,3,10,2,0.029411764705882353
empirical,15,20,4,1,10,0.14705882352941177
empirical,15,20,4,2,9,0.1323529411764706
empirical,15,20,4,3,8,0.11764705882352941
empirical,15,20,4,4,11,0.16176470588235295
empirical,15,20,4,5,12,0.17647058823529413
empirical,15,20,4,6,3,0.04411764705882353
empirical,15,20,4,7,4,0.058823529411764705
empirical,15,20,4,8,4,0.058823529411764705
empirical,15,20,4,9,5,0.07352941176470588
empirical,15,20,4,10,2,0.029411764705882353
empirical,15,20,5,1,8,0.11764705882352941
empirical,15,20,5,2,12,0.17647058823529413
empirical,15,20,5,3,8,0.11764705882352941
empirical,15,20,5,4,5,0.07352941176470588
empirical,15,20,5,5,9,0.1323529411764706
empirical,15,20,5,6,4,0.058823529411764705
empirical,15,20,5,7,9,0.1323529411764706
empirical,15,20,5,8,8,0.11764705882352941
empirical,15,20,5,9,3,0.04411764705882353
empirical,15,20,5,10,2,0.029411764705882353
empirical,15,20,6,1,4,0.058823529411764705
empirical,15,20,6,2,8,0.11764705882352941
empirical,15,20,6,3,4,0.058823529411764705
empirical,15,20,6,4,7,0.10294117647058823
empirical,15,20,6,5,9,0.1323529411764706
empirical,15,20,6,6,11,0.16176470588235295
empirical,15,20,6,7,12,0.17647058823529413
empirical,15,20,6,8,7,0.10294117647058823
empirical,15,20,6,9,5,0.07352941176470588
empirical,15,20,6,10,1,0.014705882352941176
empirical,15,20,7,1,2,0.029411764705882353
empirical,15,20,7,2,6,0.08823529411764706
empirical,15,20,7,3,6,0.08823529411764706
empirical,15,20,7,4,8,0.11764705882352941
empirical,15,20,7,5,6,0.08823529411764706
empirical,15,20,7,6,7,0.10294117647058823
empirical,15,20,7,7,7,0.10294117647058823
empirical,15,20,7,8,7,0.10294117647058823
empirical,15,20,7,9,9,0.1323529411764706
empirical,15,20,7,10,10,0.14705882352941177
empirical,15,20,8,1,1,0.014705882352941176
empirical,15,20,8,2,2,0.029411764705882353
empirical,15,20,8,3,5,0.07352941176470588
empirical,15,20,8,4,7,0.10294117647058823
empirical,15,20,8,5,7,0.10294117647058823
empirical,15,20,8,6,10,0.14705882352941177
empirical,15,20,8,7,7,0.10294117647058823
empirical,15,20,8,8,9,0.1323529411764706
empirical,15,20,8,9,12,0.17647058823529413
empirical,15,20,8,10,8,0.11764705882352941
empirical,15,20,9,1,1,0.014705882352941176
empirical,15,20,9,2,1,0.014705882352941176
empirical,15,20,9,3,0,0.0
empirical,15,20,9,4,3,0.04411764705882353
empirical,15,20,9,5,4,0.058823529411764705
empirical,15,20,9,6,7,0.10294117647058823
empirical,15,20,9,7,12,0.17647058823529413
empirical,15,20,9,8,11,0.16176470588235295
empirical,15,20,9,9,13,0.19117647058823528
empirical,15,20,9,10,16,0.23529411764705882
empirical,15,20,10,1,0,0.0
empirical,15,20,10,2,0,0.0
empirical,15,20,10,3,1,0.014492753623188406
empirical,15,20,10,4,3,0.043478260869565216
empirical,15,20,10,5,2,0.028985507246376812
empirical,15,20,10,6,5,0.07246376811594203
empirical,15,20,10,7,3,0.043478260869565216
empirical,15,20,10,8,14,0.2028985507246377
empirical,15,20,10,9,14,0.2028985507246377
empirical,15,20,10,10,27,0.391304347826087
simulated,0,5,1,1,114,0.114
simulated,0,5,1,2,96,0.096
simulated,0,5,1,3,115,0.115
simulated,0,5,1,4,94,0.094
simulated,0,5,1,5,88,0.088
simulated,0,5,1,6,103,0.103
